Name,yt_name,Link,start_min,start_sec,end_min,end_sec
a,double handed,https://youtu.be/VlqddxqAYQo,0,0,0,2
about,about,https://youtu.be/nbGetUh9P74,0,0,0,2
About,About,https://talkinghands.co.in/sites/default/files/islvideos/About.webm,0,0,0,2
Above,Above,https://talkinghands.co.in/sites/default/files/islvideos/Above.webm,0,0,0,2
Accident,Accident,https://talkinghands.co.in/sites/default/files/islvideos/Accident.webm,0,0,0,2
Account,Account,https://talkinghands.co.in/sites/default/files/islvideos/Account.webm,0,0,0,3
Accountant,Accountant,https://talkinghands.co.in/sites/default/files/islvideos/Accountant.webm,0,0,0,4
across,across,https://youtu.be/IOz0Yx8IpHU,0,0,0,2
Across,Across,https://talkinghands.co.in/sites/default/files/islvideos/Across.webm,0,0,0,2
Act,Act,https://talkinghands.co.in/sites/default/files/islvideos/Act.webm,0,0,0,2
Actor,Actor,https://talkinghands.co.in/sites/default/files/islvideos/Actor.webm,0,0,0,3
Actress,Actress,https://talkinghands.co.in/sites/default/files/islvideos/Actress.webm,0,0,0,3
Add,Add,https://talkinghands.co.in/sites/default/files/islvideos/Add.webm,0,0,0,2
Address,Address,https://talkinghands.co.in/sites/default/files/islvideos/Address.webm,0,0,0,2
Advertisement,Advertisement,https://talkinghands.co.in/sites/default/files/islvideos/Advertisement.webm,0,0,0,2
Advertisement2,Advertisement2,https://talkinghands.co.in/sites/default/files/islvideos/Advertisement2.webm,0,0,0,2
Aeroplane,Aeroplane,https://talkinghands.co.in/sites/default/files/islvideos/Aeroplane.webm,0,0,0,2
Africa,Africa,https://talkinghands.co.in/sites/default/files/islvideos/Africa.webm,0,0,0,2
after,after,https://youtu.be/tTjQsNGEeZ0,0,0,0,2
After,After,https://talkinghands.co.in/sites/default/files/islvideos/After.webm,0,0,0,2
Afternoon,Afternoon,https://talkinghands.co.in/sites/default/files/islvideos/Afternoon.webm,0,0,0,2
Again,Again,https://talkinghands.co.in/sites/default/files/islvideos/Again.webm,0,0,0,2
Age-alternate,Age-alternate,https://talkinghands.co.in/sites/default/files/islvideos/Age-alternate.webm,0,0,0,3
Agra,Agra,https://talkinghands.co.in/sites/default/files/islvideos/Agra.webm,0,0,0,2
Ahmedabad,Ahmedabad,https://talkinghands.co.in/sites/default/files/islvideos/Ahmedabad.webm,0,0,0,3
Air,Air,https://talkinghands.co.in/sites/default/files/islvideos/Air.webm,0,0,0,2
Airmail,Airmail,https://talkinghands.co.in/sites/default/files/islvideos/Airmail.webm,0,0,0,2
airport,airport,https://youtu.be/t3QUjMIwyxE,0,0,0,2
Alive,Alive,https://talkinghands.co.in/sites/default/files/islvideos/Alive.webm,0,0,0,2
all,all,https://youtu.be/by5LPvJU5OY,0,0,0,2
Allah,Allah,https://talkinghands.co.in/sites/default/files/islvideos/Allah.webm,0,0,0,2
Allergy,Allergy,https://talkinghands.co.in/sites/default/files/islvideos/Allergy.webm,0,0,0,2
Alphabetically,Alphabetically,https://talkinghands.co.in/sites/default/files/islvideos/Alphabetically.webm,0,0,0,3
Aluminium,Aluminium,https://talkinghands.co.in/sites/default/files/islvideos/Aluminium.webm,0,0,0,2
Always,Always,https://talkinghands.co.in/sites/default/files/islvideos/Always.webm,0,0,0,2
Amazing,Amazing,https://talkinghands.co.in/sites/default/files/islvideos/Amazing.webm,0,0,0,3
Ambulance,Ambulance,https://talkinghands.co.in/sites/default/files/islvideos/Ambulance.webm,0,0,0,3
Amritsar,Amritsar,https://talkinghands.co.in/sites/default/files/islvideos/Amritsar.webm,0,0,0,3
andhra pradesh,andhra pradesh,https://talkinghands.co.in/sites/default/files/islvideos/andhra_pradesh.webm,0,0,0,3
Angel,Angel,https://talkinghands.co.in/sites/default/files/islvideos/Angel.webm,0,0,0,2
Angle,Angle,https://talkinghands.co.in/sites/default/files/islvideos/Angle.webm,0,0,0,3
Angry,Angry,https://talkinghands.co.in/sites/default/files/islvideos/Angry.webm,0,0,0,2
Angry-alternate,Angry-alternate,https://talkinghands.co.in/sites/default/files/islvideos/Angry-alternate.webm,0,0,0,2
